state,state_name,year,cigsale,lnincome,beer,age15to24,retprice
1,Alabama,1970,89.80000305,,,0.178861782,39.59999847
1,Alabama,1971,95.40000153,,,0.1799278408,42.70000076
1,Alabama,1972,101.0999985,9.498476028,,0.1809938997,42.29999924
1,Alabama,1973,102.9000015,9.550107002,,0.1820599437,42.09999847
1,Alabama,1974,108.1999969,9.537162781,,0.1831260026,43.09999847
1,Alabama,1975,111.6999969,9.540031433,,0.1841920614,46.59999847
1,Alabama,1976,116.1999969,9.591907501,,0.1852581203,50.40000153
1,Alabama,1977,117.0999985,9.617495537,,0.1863241792,50.09999847
1,Alabama,1978,123.0,9.654071808,,0.1873902231,55.09999847
1,Alabama,1979,121.4000015,9.649180412,,0.188456282,56.79999924
1,Alabama,1980,123.1999969,9.612194061,,0.1895223409,60.59999847
1,Alabama,1981,119.5999985,9.609594345,,0.1858422309,68.80000305
1,Alabama,1982,119.0999985,9.597579956,,0.1821621209,73.09999847
1,Alabama,1983,116.3000031,9.626769066,,0.178482011,84.40000153
1,Alabama,1984,113.0,9.671621323,18.0,0.174801901,90.80000305
1,Alabama,1985,114.5,9.703192711,18.70000076,0.171121791,99.0
1,Alabama,1986,116.3000031,9.745949745,19.29999924,0.167441681,103.0
1,Alabama,1987,114.0,9.762091637,19.39999962,0.163761571,110.0
1,Alabama,1988,112.0999985,9.781769753,19.39999962,0.1600814611,114.4000015
1,Alabama,1989,105.5999985,9.802527428,19.39999962,0.1564013511,122.3000031
1,Alabama,1990,108.5999985,9.814290047,20.10000038,0.1527212411,139.1000061
1,Alabama,1991,107.9000015,9.819259644,20.10000038,,144.3999939
1,Alabama,1992,109.0999985,9.845286369,20.39999962,,172.1999969
1,Alabama,1993,108.5,9.852160454,20.29999924,,176.1999969
1,Alabama,1994,107.0999985,9.87933445,21.0,,154.6000061
1,Alabama,1995,102.5999985,9.924404144,20.60000038,,155.1000061
1,Alabama,1996,101.4000015,9.940027237,21.0,,158.3000031
1,Alabama,1997,104.9000015,9.937270164,20.79999924,,167.3999939
1,Alabama,1998,106.1999969,,,,180.5
1,Alabama,1999,100.6999969,,,,195.6000061
1,Alabama,2000,96.19999695,,,,270.7000122
2,Arkansas,1970,100.3000031,,,0.1690067649,36.70000076
2,Arkansas,1971,104.0999985,,,0.1699538529,38.79999924
2,Arkansas,1972,103.9000015,9.464513779,,0.1709009558,44.09999847
2,Arkansas,1973,108.0,9.556830406,,0.1718480438,45.09999847
2,Arkansas,1974,109.6999969,9.542285919,,0.1727951318,45.5
2,Arkansas,1975,114.8000031,9.514094353,,0.1737422347,48.59999847
2,Arkansas,1976,119.0999985,9.558153152,,0.1746893227,50.90000153
2,Arkansas,1977,122.5999985,9.590923309,,0.1756364107,52.59999847
2,Arkansas,1978,127.3000031,9.657238007,,0.1765834987,56.5
2,Arkansas,1979,126.5,9.633533478,,0.1775306016,58.40000153
2,Arkansas,1980,131.8000031,9.573802948,,0.1784776896,61.5
2,Arkansas,1981,128.6999969,9.59304142,,0.1750111133,64.69999695
2,Arkansas,1982,127.4000015,9.573699951,,0.1715445369,72.09999847
2,Arkansas,1983,128.0,9.593052864,,0.1680779457,82.0
2,Arkansas,1984,123.0999985,9.650440216,17.89999962,0.1646113694,93.59999847
2,Arkansas,1985,125.8000031,9.675526619,18.10000038,0.161144793,98.5
2,Arkansas,1986,126.0,9.705939293,18.70000076,0.1576782167,103.5999985
2,Arkansas,1987,122.3000031,9.705574036,19.0,0.1542116404,113.0
2,Arkansas,1988,121.5,9.721531868,18.89999962,0.1507450491,119.9000015
2,Arkansas,1989,118.3000031,9.737370491,19.0,0.1472784728,127.6999969
2,Arkansas,1990,113.0999985,9.736310959,19.89999962,0.1438118964,141.1999969
2,Arkansas,1991,116.8000031,9.743067741,19.89999962,,146.5
2,Arkansas,1992,126.0,9.788628578,20.0,,177.3000031
2,Arkansas,1993,113.8000031,9.785141945,19.70000076,,179.8999939
2,Arkansas,1994,108.8000031,9.813631058,19.70000076,,168.1000061
2,Arkansas,1995,113.0,9.864459991,19.5,,167.3000031
2,Arkansas,1996,110.6999969,9.885233879,20.10000038,,167.1000061
2,Arkansas,1997,108.6999969,9.883107185,19.79999924,,181.3000031
2,Arkansas,1998,109.5,,,,187.3000031
2,Arkansas,1999,104.8000031,,,,206.8999939
2,Arkansas,2000,99.40000153,,,,279.2999878
3,California,1970,123.0,,,0.1781583279,38.79999924
3,California,1971,121.0,,,0.1792963594,39.70000076
3,California,1972,123.5,9.930813789,,0.1804343909,39.90000153
3,California,1973,124.4000015,9.95509243,,0.1815724075,39.90000153
3,California,1974,126.6999969,9.947999001,,0.182710439,41.90000153
3,California,1975,127.0999985,9.937167168,,0.1838484704,45.0
3,California,1976,128.0,9.976858139,,0.1849865019,48.29999924
3,California,1977,126.4000015,10.00269985,,0.1861245334,49.0
3,California,1978,126.0999985,10.04556465,,0.18726255,58.70000076
3,California,1979,121.9000015,10.0546875,,0.1884005815,60.09999847
3,California,1980,120.1999969,10.03784084,,0.189538613,62.09999847
3,California,1981,118.5999985,10.02862644,,0.1855370551,66.40000153
3,California,1982,115.4000015,10.01253033,,0.1815354973,72.80000305
3,California,1983,110.8000031,10.03173733,,0.1775339395,84.90000153
3,California,1984,104.8000031,10.07535934,25.0,0.1735323817,94.90000153
3,California,1985,102.8000031,10.09970284,24.0,0.1695308238,98.0
3,California,1986,99.69999695,10.12726688,24.70000076,0.165529266,104.4000015
3,California,1987,97.5,10.13430119,24.10000038,0.1615277082,103.9000015
3,California,1988,90.09999847,10.1416626,23.60000038,0.1575261503,117.4000015
3,California,1989,82.40000153,10.142313,23.70000076,0.1535245925,126.4000015
3,California,1990,77.80000305,10.14162254,23.79999924,0.1495230347,163.8000031
3,California,1991,68.69999695,10.11071396,22.29999924,,186.8000031
3,California,1992,67.5,10.11493874,21.29999924,,201.8999939
3,California,1993,63.40000153,10.09849739,20.79999924,,205.1000061
3,California,1994,58.59999847,10.09950829,20.10000038,,190.3000031
3,California,1995,56.40000153,10.15591621,19.70000076,,195.1000061
3,California,1996,54.5,10.17863655,19.10000038,,197.8999939
3,California,1997,53.79999924,10.17518997,19.5,,200.3000031
3,California,1998,52.29999924,,,,207.8000031
3,California,1999,47.20000076,,,,224.8999939
3,California,2000,41.59999847,,,,351.2000122
4,Colorado,1970,124.8000031,,,0.1909502298,29.39999962
4,Colorado,1971,125.5,,,0.1916475892,31.10000038
4,Colorado,1972,134.3000031,9.805547714,,0.1923449636,31.20000076
4,Colorado,1973,137.8999939,9.848413467,,0.193042323,32.70000076
4,Colorado,1974,132.8000031,9.840451241,,0.1937396824,38.09999847
4,Colorado,1975,131.0,9.828460693,,0.1944370568,41.70000076
4,Colorado,1976,134.1999969,9.858913422,,0.1951344162,44.79999924
4,Colorado,1977,132.0,9.888446808,,0.1958317757,44.70000076
4,Colorado,1978,129.1999969,9.933751106,,0.1965291351,57.40000153
4,Colorado,1979,131.5,9.942219734,,0.1972265095,52.79999924
4,Colorado,1980,131.0,9.943612099,,0.1979238689,54.59999847
4,Colorado,1981,133.8000031,9.957273483,,0.1918687075,58.09999847
4,Colorado,1982,130.5,9.96261692,,0.1858135611,61.40000153
4,Colorado,1983,125.3000031,9.97803688,,0.1797583997,73.30000305
4,Colorado,1984,119.6999969,10.00204563,25.70000076,0.1737032533,83.40000153
4,Colorado,1985,112.4000015,10.00077915,25.20000076,0.1676480919,93.09999847
4,Colorado,1986,109.9000015,10.00159264,25.5,0.1615929306,95.09999847
4,Colorado,1987,102.4000015,9.994426727,24.79999924,0.1555377841,108.5999985
4,Colorado,1988,94.59999847,10.01883125,24.20000076,0.1494826227,116.0
4,Colorado,1989,88.80000305,10.04306316,23.89999962,0.1434274763,130.8000031
4,Colorado,1990,87.40000153,10.0462513,24.20000076,0.1373723149,149.3000031
4,Colorado,1991,90.19999695,10.05476093,23.5,,152.6000061
4,Colorado,1992,88.30000305,10.06633949,23.70000076,,157.5
4,Colorado,1993,88.59999847,10.079669,23.5,,168.1999969
4,Colorado,1994,89.09999847,10.09746361,23.10000038,,153.1999969
4,Colorado,1995,85.40000153,10.16635036,24.39999962,,164.1999969
4,Colorado,1996,83.09999847,10.19143677,24.79999924,,169.6000061
4,Colorado,1997,81.30000305,10.20389652,24.0,,174.3999939
4,Colorado,1998,81.19999695,,,,185.8000031
4,Colorado,1999,79.59999847,,,,204.1999969
4,Colorado,2000,73.0,,,,281.2999878
5,Connecticut,1970,120.0,,,0.1629287601,42.20000076
5,Connecticut,1971,117.5999985,,,0.1646538973,45.5
5,Connecticut,1972,110.8000031,9.981137276,,0.1663790494,51.29999924
5,Connecticut,1973,109.3000031,10.01298904,,0.1681041867,50.59999847
5,Connecticut,1974,112.4000015,9.988534927,,0.1698293239,52.5
5,Connecticut,1975,110.1999969,9.960748672,,0.171554476,54.5
5,Connecticut,1976,113.4000015,9.993227005,,0.1732796133,57.59999847
5,Connecticut,1977,117.3000031,10.02806854,,0.1750047505,58.40000153
5,Connecticut,1978,117.5,10.06320286,,0.1767298877,61.70000076
5,Connecticut,1979,117.4000015,10.07550812,,0.1784550399,64.40000153
5,Connecticut,1980,118.0,10.0747633,,0.1801801771,67.0
5,Connecticut,1981,116.4000015,10.07957172,,0.176050052,80.09999847
5,Connecticut,1982,114.6999969,10.09016323,,0.171919927,85.59999847
5,Connecticut,1983,114.0999985,10.12007046,,0.1677898169,95.59999847
5,Connecticut,1984,112.5,10.18159676,20.29999924,0.1636596918,113.5
5,Connecticut,1985,111.0,10.21291733,20.79999924,0.1595295668,118.5999985
5,Connecticut,1986,108.5,10.26860905,20.60000038,0.1553994417,118.5
5,Connecticut,1987,109.0,10.3092289,21.10000038,0.1512693167,122.6999969
5,Connecticut,1988,104.8000031,10.35539532,20.70000076,0.1471392065,129.6999969
5,Connecticut,1989,100.5999985,10.36652374,19.79999924,0.1430090815,142.0
5,Connecticut,1990,91.5,10.34930229,19.79999924,0.1388789564,171.1999969
5,Connecticut,1991,86.69999695,10.32413673,18.70000076,,175.6000061
5,Connecticut,1992,83.5,10.34384251,18.29999924,,193.5
5,Connecticut,1993,79.09999847,10.34354401,17.89999962,,202.3000031
5,Connecticut,1994,76.59999847,10.36129856,17.89999962,,205.6000061
5,Connecticut,1995,79.30000305,10.45100212,17.60000038,,205.3999939
5,Connecticut,1996,76.0,10.47449493,17.20000076,,206.3000031
5,Connecticut,1997,75.90000153,10.48661709,17.5,,208.5
5,Connecticut,1998,75.5,,,,217.8999939
5,Connecticut,1999,73.40000153,,,,236.5
5,Connecticut,2000,71.40000153,,,,312.2999878
6,Delaware,1970,155.0,,,0.1733576655,39.0
6,Delaware,1971,161.1000061,,,0.1758872122,41.29999924
6,Delaware,1972,156.3000031,9.909930229,,0.1784167737,44.70000076
6,Delaware,1973,154.6999969,9.948177338,,0.1809463203,44.0
6,Delaware,1974,151.3000031,9.918257713,,0.1834758818,44.20000076
6,Delaware,1975,147.6000061,9.887531281,,0.1860054284,45.90000153
6,Delaware,1976,153.0,9.920684814,,0.1885349751,50.09999847
6,Delaware,1977,153.3000031,9.933778763,,0.1910645366,51.70000076
6,Delaware,1978,155.5,9.944127083,,0.1935940832,58.70000076
6,Delaware,1979,150.1999969,9.926103592,,0.1961236447,60.0
6,Delaware,1980,150.5,9.913743973,,0.1986531913,62.70000076
6,Delaware,1981,152.6000061,9.901392937,,0.193546012,66.0
6,Delaware,1982,154.1000061,9.904336929,,0.1884388477,74.09999847
6,Delaware,1983,149.6000061,9.934576035,,0.1833316684,82.0
6,Delaware,1984,144.0,9.962282181,26.60000038,0.178224504,91.09999847
6,Delaware,1985,144.5,9.996334076,26.20000076,0.1731173247,98.69999695
6,Delaware,1986,142.3999939,10.03209209,26.0,0.1680101454,105.1999969
6,Delaware,1987,141.0,10.04857063,25.89999962,0.162902981,111.4000015
6,Delaware,1988,137.1000061,10.0777216,25.70000076,0.1577958018,119.3000031
6,Delaware,1989,131.6999969,10.10360527,24.89999962,0.1526886374,124.0
6,Delaware,1990,127.1999969,10.09480381,25.79999924,0.1475814581,140.0
6,Delaware,1991,118.8000031,10.08306408,24.89999962,,143.1999969
6,Delaware,1992,120.0,10.09146404,25.20000076,,174.6999969
6,Delaware,1993,123.8000031,10.09208298,26.20000076,,187.8999939
6,Delaware,1994,126.0999985,10.13124657,25.89999962,,152.5
6,Delaware,1995,127.1999969,10.22965336,24.60000038,,160.6999969
6,Delaware,1996,128.3000031,10.262393,24.60000038,,169.1000061
6,Delaware,1997,124.0999985,10.26167774,24.89999962,,171.8999939
6,Delaware,1998,132.8000031,,,,179.1999969
6,Delaware,1999,139.5,,,,198.3000031
6,Delaware,2000,140.6999969,,,,276.2000122
7,Georgia,1970,109.9000015,,,0.1874455065,34.29999924
7,Georgia,1971,115.6999969,,,0.1878662556,35.79999924
7,Georgia,1972,117.0,9.638890266,,0.1882869899,40.90000153
7,Georgia,1973,119.8000031,9.684864998,,0.1887077391,42.40000153
7,Georgia,1974,123.6999969,9.659980774,,0.1891284734,42.40000153
7,Georgia,1975,122.9000015,9.629609108,,0.1895492226,44.5
7,Georgia,1976,125.9000015,9.671429634,,0.1899699718,47.90000153
7,Georgia,1977,127.9000015,9.69333744,,0.1903907061,49.5
7,Georgia,1978,130.6000061,9.736651421,,0.1908114552,54.70000076
7,Georgia,1979,131.0,9.729302406,,0.1912321895,56.59999847
7,Georgia,1980,134.0,9.701444626,,0.1916529387,59.29999924
7,Georgia,1981,131.6999969,9.704943657,,0.1879757345,62.59999847
7,Georgia,1982,131.1999969,9.707344055,,0.1842985302,67.80000305
7,Georgia,1983,128.6000061,9.755731583,,0.180621326,78.90000153
7,Georgia,1984,126.3000031,9.825489998,21.29999924,0.1769441217,86.80000305
7,Georgia,1985,128.8000031,9.862127304,21.39999962,0.1732669175,90.69999695
7,Georgia,1986,129.0,9.913808823,22.10000038,0.1695897281,100.0999985
7,Georgia,1987,129.3000031,9.930797577,22.29999924,0.1659125239,103.9000015
7,Georgia,1988,124.0999985,9.95286274,21.70000076,0.1622353196,109.1999969
7,Georgia,1989,117.0999985,9.95390892,21.5,0.1585581154,122.4000015
7,Georgia,1990,113.8000031,9.953297615,22.29999924,0.1548809111,132.3000031
7,Georgia,1991,109.5999985,9.941864967,21.20000076,,138.1999969
7,Georgia,1992,109.1999969,9.958564758,21.60000038,,159.5
7,Georgia,1993,109.1999969,9.96787262,21.70000076,,167.1999969
7,Georgia,1994,107.8000031,9.998239517,21.39999962,,147.8000031
7,Georgia,1995,100.3000031,10.05543804,21.5,,153.8000031
7,Georgia,1996,102.6999969,10.07977104,22.0,,156.1000061
7,Georgia,1997,100.5999985,10.08140755,21.60000038,,158.8999939
7,Georgia,1998,100.5,,,,168.6999969
7,Georgia,1999,97.09999847,,,,188.0
7,Georgia,2000,88.40000153,,,,257.3999939
8,Idaho,1970,102.4000015,,,0.1781206131,33.79999924
8,Idaho,1971,108.5,,,0.1760924459,33.59999847
8,Idaho,1972,126.0999985,9.651839256,,0.1740642935,33.70000076
8,Idaho,1973,121.8000031,9.721051216,,0.1720361263,36.29999924
8,Idaho,1974,125.5999985,9.74626255,,0.170007959,38.0
8,Idaho,1975,123.3000031,9.692200661,,0.1679798067,40.29999924
8,Idaho,1976,125.0999985,9.731101036,,0.1659516394,42.5
8,Idaho,1977,125.0,9.726507187,,0.1639234722,45.59999847
8,Idaho,1978,122.8000031,9.768933296,,0.1618953049,51.5
8,Idaho,1979,117.5,9.737336159,,0.1598671526,55.40000153
8,Idaho,1980,115.1999969,9.711496353,,0.1578389853,56.40000153
8,Idaho,1981,114.0999985,9.684898376,,0.156383425,59.20000076
8,Idaho,1982,111.5,9.645256996,,0.1549278498,67.59999847
8,Idaho,1983,111.3000031,9.694543839,,0.1534722894,76.5
8,Idaho,1984,103.5999985,9.707316399,23.20000076,0.1520167142,88.5
8,Idaho,1985,100.6999969,9.715256691,22.29999924,0.1505611539,97.59999847
8,Idaho,1986,96.69999695,9.736213684,22.5,0.1491055936,99.90000153
8,Idaho,1987,95.0,9.740722656,22.0,0.1476500183,107.0999985
8,Idaho,1988,84.5,9.766003609,21.10000038,0.146194458,121.9000015
8,Idaho,1989,78.40000153,9.827926636,21.60000038,0.1447388828,133.6000061
8,Idaho,1990,90.09999847,9.839927673,22.89999962,0.1432833225,141.3000031
8,Idaho,1991,85.40000153,9.835094452,22.20000076,,144.3999939
8,Idaho,1992,85.09999847,9.856149673,22.60000038,,167.1999969
8,Idaho,1993,86.69999695,9.877363205,21.79999924,,171.1999969
8,Idaho,1994,93.0,9.903079033,21.39999962,,150.5
8,Idaho,1995,78.19999695,9.919678688,20.10000038,,163.5
8,Idaho,1996,73.59999847,9.933633804,20.60000038,,176.5
8,Idaho,1997,75.0,9.921952248,20.10000038,,184.3999939
8,Idaho,1998,78.90000153,,,,187.1000061
8,Idaho,1999,75.09999847,,,,210.6999969
8,Idaho,2000,66.90000153,,,,275.8999939
9,Illinois,1970,124.8000031,,,0.1669666916,41.40000153
9,Illinois,1971,125.5999985,,,0.1689976007,41.40000153
9,Illinois,1972,126.5999985,9.908161163,,0.1710285097,41.90000153
9,Illinois,1973,124.4000015,9.961596489,,0.1730594039,41.0
9,Illinois,1974,131.8999939,9.946314812,,0.175090313,41.90000153
9,Illinois,1975,131.8000031,9.934189796,,0.177121222,45.20000076
9,Illinois,1976,134.3999939,9.965497971,,0.1791521311,48.40000153
9,Illinois,1977,134.0,9.996949196,,0.1811830401,49.40000153
9,Illinois,1978,136.6999969,10.02360344,,0.1832139343,54.59999847
9,Illinois,1979,135.3000031,10.01367474,,0.1852448434,56.79999924
9,Illinois,1980,135.1999969,9.962172508,,0.1872757524,60.0
9,Illinois,1981,133.0,9.965017319,,0.1830271035,63.09999847
9,Illinois,1982,130.6999969,9.944978714,,0.1787784696,69.59999847
9,Illinois,1983,127.9000015,9.954803467,,0.1745298207,80.80000305
9,Illinois,1984,124.0,10.00314426,24.60000038,0.1702811867,89.59999847
9,Illinois,1985,121.5999985,10.02081871,24.29999924,0.1660325378,96.69999695
9,Illinois,1986,118.1999969,10.05529976,24.70000076,0.1617838889,108.4000015
9,Illinois,1987,109.5,10.06775475,25.10000038,0.157535255,116.1999969
9,Illinois,1988,107.5999985,10.08795643,25.0,0.1532866061,124.0999985
9,Illinois,1989,104.5999985,10.11390686,24.39999962,0.1490379721,132.6999969
9,Illinois,1990,94.09999847,10.11674881,25.70000076,0.1447893232,147.3000031
9,Illinois,1991,96.09999847,10.09823895,24.39999962,,154.0
9,Illinois,1992,94.80000305,10.1232872,23.79999924,,179.8000031
9,Illinois,1993,94.59999847,10.12783432,23.5,,187.5
9,Illinois,1994,85.69999695,10.15419197,23.60000038,,182.1000061
9,Illinois,1995,84.30000305,10.20035458,23.20000076,,185.1999969
9,Illinois,1996,81.80000305,10.22424412,22.89999962,,188.6999969
9,Illinois,1997,79.59999847,10.23658562,22.89999962,,198.6999969
9,Illinois,1998,80.30000305,,,,202.3000031
9,Illinois,1999,72.19999695,,,,240.5
9,Illinois,2000,70.0,,,,312.7000122
10,Indiana,1970,134.6000061,,,0.1765158772,30.60000038
10,Indiana,1971,139.3000031,,,0.1779717505,32.20000076
10,Indiana,1972,149.1999969,9.731872559,,0.1794276386,32.5
10,Indiana,1973,156.0,9.806882858,,0.1808835268,32.90000153
10,Indiana,1974,159.6000061,9.763184547,,0.1823394001,34.5
10,Indiana,1975,162.3999939,9.743660927,,0.1837952733,36.70000076
10,Indiana,1976,166.6000061,9.798754692,,0.1852511615,38.70000076
10,Indiana,1977,173.0,9.833314896,,0.1867070496,40.59999847
10,Indiana,1978,150.8999939,9.865232468,,0.1881629229,50.0
10,Indiana,1979,148.8999939,9.851489067,,0.1896187961,52.5
10,Indiana,1980,146.8999939,9.795776367,,0.1910746843,53.70000076
10,Indiana,1981,148.5,9.788149834,,0.1870784312,58.29999924
10,Indiana,1982,147.6999969,9.757754326,,0.1830821633,65.09999847
10,Indiana,1983,143.0,9.775057793,,0.1790859103,75.69999695
10,Indiana,1984,137.8000031,9.829457283,22.0,0.1750896573,85.19999695
10,Indiana,1985,135.3000031,9.844302177,22.0,0.1710934043,88.80000305
10,Indiana,1986,137.6000061,9.882231712,22.10000038,0.1670971364,93.59999847
10,Indiana,1987,134.0,9.897043228,21.89999962,0.1631008834,100.0999985
10,Indiana,1988,134.0,9.915044785,21.89999962,0.1591046304,109.3000031
10,Indiana,1989,132.5,9.936581612,21.5,0.1551083624,119.0
10,Indiana,1990,128.3000031,9.935141563,22.39999962,0.1511121094,130.8000031
10,Indiana,1991,127.1999969,9.921082497,21.60000038,,135.8000031
10,Indiana,1992,128.1999969,9.95379734,20.70000076,,153.5
10,Indiana,1993,126.8000031,9.965633392,20.5,,157.5
10,Indiana,1994,128.1999969,10.00134754,20.60000038,,146.6000061
10,Indiana,1995,135.3999939,10.04371071,20.10000038,,146.3000031
10,Indiana,1996,135.1000061,10.06088734,20.29999924,,147.8000031
10,Indiana,1997,135.3000031,10.05211449,20.29999924,,156.3000031
